,Date,Close,Close_Lag,Returns,Tick,Month_Year,Rf,Strike_Price,marketCapitalization,numberOfShares
0,2024-01-29,62.43721389770508,61.00385284423828,0.0232244506196655,NVDA,2024-01,0.0521999999999999,4231500000.0,2907803100000,24555000000
1,2024-01-30,62.74607849121094,62.43721389770508,0.0049346077157463,NVDA,2024-01,0.0521999999999999,4231500000.0,2907803100000,24555000000
2,2024-01-31,61.499637603759766,62.74607849121094,-0.0200647997217642,NVDA,2024-01,0.0521999999999999,4231500000.0,2907803100000,24555000000
3,2024-02-01,62.998966217041016,61.499637603759766,0.024087034830264,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
4,2024-02-02,66.13056945800781,62.998966217041016,0.0485127958361109,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
5,2024-02-05,69.30116271972656,66.13056945800781,0.0468305712778466,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
6,2024-02-06,68.19265747070312,69.30116271972656,-0.0161247867839579,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
7,2024-02-07,70.06781768798828,68.19265747070312,0.0271266998227124,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
8,2024-02-08,69.61002349853516,70.06781768798828,-0.0065550244016467,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
9,2024-02-09,72.10093688964844,69.61002349853516,0.0351584657604078,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
10,2024-02-12,72.21586608886719,72.10093688964844,0.0015927351651759,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
11,2024-02-13,72.09593200683594,72.21586608886719,-0.0016621525228872,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
12,2024-02-14,73.86714172363281,72.09593200683594,0.0242704763036115,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
13,2024-02-15,72.62567901611328,73.86714172363281,-0.0169495327131281,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
14,2024-02-16,72.58070373535156,72.62567901611328,-0.0006194670144345,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
15,2024-02-20,69.4211196899414,72.58070373535156,-0.0445079582171882,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
16,2024-02-21,67.4419937133789,69.4211196899414,-0.0289232634870527,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
17,2024-02-22,78.50306701660156,67.4419937133789,0.1518698182711662,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
18,2024-02-23,78.78195190429688,78.50306701660156,0.0035462395830917,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
19,2024-02-26,79.05683135986328,78.78195190429688,0.0034830442528212,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
20,2024-02-27,78.66598510742188,79.05683135986328,-0.0049561257049677,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
21,2024-02-28,77.62846374511719,78.66598510742188,-0.0132766916579337,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
22,2024-02-29,79.07681274414062,77.62846374511719,0.0184855325203483,NVDA,2024-02,0.0524,4231500000.0,2907803100000,24555000000
23,2024-03-01,82.24239349365234,79.07681274414062,0.0392512117548982,NVDA,2024-03,0.0524,4231500000.0,2907803100000,24555000000
